date,party,approve,disapprove
7/31/2020,I,32.863533,61.761077
7/30/2020,I,32.749223,61.523659
7/29/2020,I,32.922881,61.320674
7/28/2020,I,33.218552,61.369154
7/27/2020,I,33.255918,61.290314
7/26/2020,I,33.155529,61.207238
7/25/2020,I,33.155529,61.207238
7/24/2020,I,32.524548,61.246915
7/23/2020,I,32.120548,61.85511
7/22/2020,I,32.197179,61.595546
7/21/2020,I,33.141061,61.006458
7/20/2020,I,33.020906,61.154527
7/19/2020,I,32.966903,61.394761
7/18/2020,I,32.966903,61.394761
7/17/2020,I,33.234397,60.953936
7/16/2020,I,32.398083,61.396277
7/15/2020,I,32.898381,61.062977
7/14/2020,I,34.1898,59.99144
7/13/2020,I,34.652292,59.415715
7/12/2020,I,34.495107,59.546808
7/11/2020,I,34.495107,59.546808
7/10/2020,I,34.495107,59.546808
7/9/2020,I,35.078377,58.765651
7/8/2020,I,35.078377,58.765651
7/7/2020,I,35.438073,58.583647
7/6/2020,I,35.319346,58.774628
7/5/2020,I,35.319346,58.774628
7/4/2020,I,35.729711,58.231368
7/3/2020,I,35.729711,58.231368
7/2/2020,I,35.729711,58.231368
7/1/2020,I,35.729711,58.231368
6/30/2020,I,36.439242,58.431961
6/29/2020,I,36.079997,58.883005
6/28/2020,I,36.183669,58.628144
6/27/2020,I,36.183669,58.628144
6/26/2020,I,35.872985,58.348656
6/25/2020,I,35.862193,58.039736
6/24/2020,I,36.056723,57.789416
6/23/2020,I,37.34431,56.541004
6/22/2020,I,37.70513,56.680646
6/21/2020,I,37.407182,56.856535
6/20/2020,I,37.407182,56.856535
6/19/2020,I,37.407182,56.856535
6/18/2020,I,37.673628,56.547824
6/17/2020,I,37.084461,57.220376
6/16/2020,I,36.978844,57.653111
6/15/2020,I,37.169531,57.831294
6/14/2020,I,37.148137,57.938201
6/13/2020,I,37.148137,57.938201
6/12/2020,I,37.148137,57.938201
6/11/2020,I,36.921523,58.125815
6/10/2020,I,37.109034,57.944523
6/9/2020,I,37.21568,57.614276
6/8/2020,I,37.21568,57.614276
6/7/2020,I,37.836927,57.094041
6/6/2020,I,37.836927,57.094041
6/5/2020,I,37.836927,57.094041
6/4/2020,I,37.825262,56.922889
6/3/2020,I,38.167301,56.372599
6/2/2020,I,38.999416,56.226158
6/1/2020,I,38.289306,56.081811
5/31/2020,I,38.425793,55.7684
5/30/2020,I,38.501774,55.265177
5/29/2020,I,38.501774,55.265177
5/28/2020,I,38.501774,55.265177
5/27/2020,I,38.556735,55.133303
5/26/2020,I,38.625362,55.576286
5/25/2020,I,39.079447,55.201178
5/24/2020,I,39.079447,55.201178
5/23/2020,I,39.079447,55.201178
5/22/2020,I,39.079447,55.201178
5/21/2020,I,38.947235,54.820304
5/20/2020,I,39.13014,54.671292
5/19/2020,I,39.56299,54.781737
5/18/2020,I,39.84285,54.212544
5/17/2020,I,39.790115,53.971974
5/16/2020,I,39.790115,53.971974
5/15/2020,I,39.551302,54.15978
5/14/2020,I,39.629444,54.242005
5/13/2020,I,39.486338,53.774355
5/12/2020,I,39.157212,54.345426
5/11/2020,I,39.035502,54.033299
5/10/2020,I,38.993786,53.97764
5/9/2020,I,38.993786,53.97764
5/8/2020,I,39.043703,53.973191
5/7/2020,I,39.085562,53.7043
5/6/2020,I,39.103369,53.550822
5/5/2020,I,39.690687,53.851262
5/4/2020,I,40.349479,52.857029
5/3/2020,I,40.514693,52.586407
5/2/2020,I,40.702167,52.036788
5/1/2020,I,40.543393,52.047182
4/30/2020,I,40.636049,51.765014
4/29/2020,I,40.819824,52.640807
4/28/2020,I,41.226248,51.978261
4/27/2020,I,42.361552,51.298262
4/26/2020,I,42.493643,50.603156
4/25/2020,I,42.61594,50.637171
4/24/2020,I,42.640241,50.553328
4/23/2020,I,42.628968,50.525937
4/22/2020,I,42.802747,50.437464
4/21/2020,I,42.863928,50.260858
4/20/2020,I,43.100956,50.232875
4/19/2020,I,43.140919,50.460086
4/18/2020,I,43.140919,50.460086
4/17/2020,I,42.829206,50.781664
4/16/2020,I,43.170702,50.45786
4/15/2020,I,43.209484,50.541542
4/14/2020,I,43.395436,50.121555
4/13/2020,I,43.437595,50.178838
4/12/2020,I,43.6389,49.911799
4/11/2020,I,43.6389,49.911799
4/10/2020,I,43.683974,49.973708
4/9/2020,I,43.398822,49.819028
4/8/2020,I,43.488473,49.571945
4/7/2020,I,43.578533,48.021063
4/6/2020,I,43.603124,47.853435
4/5/2020,I,45.719431,48.015941
4/4/2020,I,45.719431,48.015941
4/3/2020,I,45.931626,47.915171
4/2/2020,I,45.48352,47.88953
4/1/2020,I,45.48352,47.88953
3/31/2020,I,45.49802,47.56918
3/30/2020,I,45.27231,47.87676
3/29/2020,I,45.47318,48.07618
3/28/2020,I,46.06472,46.78419
3/27/2020,I,46.06472,46.78419
3/26/2020,I,46.08246,46.74518
3/25/2020,I,46.24343,46.78221
3/24/2020,I,45.8362,46.60226
3/23/2020,I,45.95383,46.68736
3/22/2020,I,44.96327,46.96952
3/21/2020,I,44.06611,45.48122
3/20/2020,I,44.06611,45.48122
3/19/2020,I,43.6495,45.73281
3/18/2020,I,41.88293,46.96523
3/17/2020,I,40.7688,47.49585
3/16/2020,I,40.22614,47.46221
3/15/2020,I,40.2639,46.95118
3/14/2020,I,38.7824,47.74377
3/13/2020,I,39.10692,47.43478
3/12/2020,I,38.85675,47.11414
3/11/2020,I,37.71305,46.64754
3/10/2020,I,37.98592,46.30633
3/9/2020,I,37.14943,47.03231
3/8/2020,I,37.4336,46.27357
3/7/2020,I,38.23336,43.01685
3/6/2020,I,39.00039,40.66616
3/5/2020,I,39.00039,40.66616
3/4/2020,I,39.44207,39.42209
3/3/2020,I,39.44207,39.42209
3/2/2020,I,41.74471,36.27087
3/1/2020,I,41.74471,36.27087
2/29/2020,I,42.66567,35.38785
2/28/2020,I,42.66567,35.38785
2/27/2020,I,40.96081,24.71771
2/26/2020,I,40.96081,24.71771
2/25/2020,I,38.52853,24.6117
2/24/2020,I,40.32019,24.01075
2/23/2020,I,40.32019,24.01075
2/22/2020,I,40.32019,24.01075
2/21/2020,I,40.32019,24.01075
2/20/2020,I,40.32019,24.01075
2/19/2020,I,40.32019,24.01075
2/18/2020,I,40.32019,24.01075
2/17/2020,I,41.35748,23.84617
2/16/2020,I,41.35748,23.84617
2/15/2020,I,41.35748,23.84617
